label,text
offensive,"RT @RAYCHIELOVESU: No &#8220;@3rdeyechillin: That really happens ?

""@opnminds: who doesn&#8217;t like it when a random bad bitch hits you up just to s&#8230;"
neutral,&#8220;@__Black_Jesus: &#8220;@lil_aerii: Happy new year &#127882;&#127881;&#127881;&#127881;&#127881;&#127881;&#127881;&#127882;&#127882;&#8221; check yo clock Hun we got another hour lol..&#8221;they just did the lil count down thing
hate,"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26"
offensive,RT @tr4pb0y: when the pussy so good &amp; u forget to pull out http://t.co/653Te4sUhr
offensive,I talk to these bitches like I really do care.
hate,You have my word we will RT @JRwrz: @Thotcho beat those fucking faggots pls
offensive,"Tell them skinny hoes bounce, bring them thick bitches back"
neutral,My nig kkeldalegend took me out for some more of that good old New Orleans soul food! http://t.co/vCBKAcQBHV
offensive,This nigguh got somebody contact as Ebola lol
offensive,"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly"""""
offensive,RT @ChiefKeef: That pussy Ain't yours broski. It's jus your turn!
offensive,&#8220;@Untouchable_T: Never seen so many perfect bitches til I made a Twitter &#128564; but &#128056;&#9749;&#65039;&#8221;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;&#128175;
hate,@MarkHalperin @WSJopinion @BarackObama Anything to trash this black President!!
hate,These niggas retarded... Lmfaoo
offensive,@ResiDinero if we finna hoop inside or out fucking retard that's what I'm saying let me know allergic reaction lip ass nigga
neutral,"trust me, just set the alpha to 0. it's just as good (maybe better) than setting the visibility to false. now: fly on silver bird!"
offensive,"You little stupid ass bitch, i aint fuckin with you!!!!!"
neutral,@ShojoAIE a bright neon yellow gauntlet
hate,@GlitteredInPink hoe don't tweet me
offensive,RT @ATypicalFemaIe: when a bitch gets smart and I look too cute to be ratchet http://t.co/OoTtkUxKRA
neutral,"Wait a minute... Bowyer causing a yellow in a Chase race RT @Knighter01: Caution, 15 #NASCAR"
offensive,@kerrtheresa moderator wants to bitch slap Romney so hard
hate,"If some one isn't an Anglo-Saxon Protestant, they have no right to be alive in the US. None at all, they are foreign filth."
hate,"Fuck that niggah he so weak, he cant tell that you a freak"
neutral,"From Jihadi streams: Rutba, Anbar Province, #Iraq http://t.co/K6j37J2sgL"
neutral,RT @vexedmentals: draya really out catching a tan while her son looking out the window like the ikea monkey while everybody trick or treati&#8230;
hate,But atleast they let me know...ur a faggot if u keep those type of twitter secrets
offensive,"@RicoChavo oh, you cute, you fancy bitch!"
hate,George michael such a fag
hate,RT @beethetranny: can we please stop talking about how some scumbag faggots mugshot is sexy? you dumb whores.
hate,@sarahVICwood im going to murder that fucking cunt
offensive,&#8220;@surfboard101: @Vomitdatruth I'm outside your house #comeout&#8221; this bitch
neutral,"Char-broiled #cod, yellow #rice, saut&#233;ed spinach and artichoke hearts. Made with love for @voxpulchra.&#8230; http://t.co/vWjWlghRGO"
offensive,If you not lickin toes you a basic bitch.. And I can't fuck with a basic bitch
offensive,Profesional sports are only enjoyed by white trash.
neutral,RT @chilltweetss: flappy bird is deep... hahaha http://t.co/EMuhmR3jzE
offensive,My bitch can be anything except average
offensive,Gettin bitches was never hard I just settled down cause that start got corny an my girl thurl &#128175;
hate,I hate dumb bitches
offensive,"@kay_reneaa trust me, after i tweeted that i was like... Damn im a fag"
offensive,&#8220;@eternalhbic: &#8220;@HalfJewish: Stills get no pussy** http://t.co/6uOWecbUQO&#8221; he's jus being rational&#8221; a fag
offensive,Pussy ass nigguh name Jesus. And his daddy
offensive,RT @ForeignGAWDESS: A relationship is for 2 &#128107; . . but you know some of you hoes don't know how to count &#9995;&#128530;
offensive,Niggas go crazy over bitches now a days &#128541; like calm yo happy ass down
offensive,RT @__thaRealist: @pskinny31 &#128514;&#128514;&#128514; chill bitch
